user;waktu;sentimen;lokasi;ulasan
Rizky Ramadhana;2 minggu lalu;Positif;pantai sembilan;Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan , biaya parkir 10ribu terus nyebrang per orang sekitar 20rb kalo engga 10rb (lupa) dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget . Awas makelar bos hahahaa
Alfin Zayn;sebulan lalu;Positif;pantai sembilan;"Pantai nya bagus, air nya jernih dan bersih, asri dan alami.
Nyaman buat bersantai atau liburan bersama keluarga ataupun teman²..."
Nurimama Tuss;sebulan lalu;Positif;pantai sembilan;Pantai nya bagus, kalo weekday sepi. Enak berasa pantai pribadi. Cuman akses nya belom bagus. Buat yang traveling individu harus nunggu perahu nya penuh baru berangkat.jadi gada jam keberangkatan. Bisa nunggu lama di pelabuhan nya
dimi ismanto;5 bulan lalu;Positif;pantai sembilan;Pantai ini indah sekali terletak di Pulau Gili Genting . Tenang. Dan cukup bersih...untuk mencapainya...perlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep. …
Aina Lee;sebulan lalu;Positif;pantai sembilan;Pantainya bersih, tenang cocok buat healing menghindari keramaian kota.
Dewi Nindita;7 bulan lalu;Positif;pantai sembilan;Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati, salah satunya gili genting , pantai sembilan. Kalo dr sumenepnya nyebrang 30 menit aja. Ohiya , perahunya cuman bisa angkut manusia
Taji Sanditias Zuhro;4 bulan lalu;Positif;pantai sembilan;Bagus, Biaya masuk murah, Tersedia tempat penginapannya jg 300-500rb per malam
Ahmad Rofiu Syakir;5 bulan lalu;Positif;pantai sembilan;"Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfoto-foto ria dan wahana permainan yg tentunya seru untuk dimainkan, dan di sini juga banyak rumah"" kecil yg bisa di sewa"
Ismi Khaerunnisa;11 bulan lalu;Positif;pantai sembilan;Masuk kesini dikasih gratis sama penjaga pantainya baik banget. Namanya bang Saipul haha makasih banyak yaa bang. Mana mau direpotin lagi penjaga pantainya hahaha. Disuruh nganterin ke tengah laut yang ada rumah apungnya itu. Mau aja :(
Muhammad mukti;8 bulan lalu;Positif;pantai sembilan;Pantainya bagus. Pasir putih ombak juga gak gede2. Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes
dwi merak;setahun lalu;Positif;pantai sembilan;"Pantainya bagus dan lumayan bersih. Hanya sayangnya kurang luas.
Tiket masuk 15rb.
Tersedia tempat menginap 300rb (kamar mandi luar), 500rb (kamar mandi dalam)"
Abdus Sukur;3 minggu lalu;Negatif;pantai sembilan;Pantai ini cukup bgus cuma infrastrukturx kurang bangaus banyakx sampah terutama di tempat wisatax masih kurang bersih
Tsurayya Kamila Novita;setahun lalu;Positif;pantai sembilan;Pantai yang sungguh cantik dengan pengelolaan yang baik. Fasilitas lengkap. Sangat cocok dijadikan tempat liburan bersama keluarga, rekan maupun sahabat. Saran bisa ditambah spot spot fotonya ?? kurang banyak... Semoga bisa diperindah lagi penampilannya...sehingga tambah mempesona. Recommended for healing. …
abang D;setahun lalu;Positif;pantai sembilan;Tempatnya sejuk dibawah pohon laut yg di hembus angin semilir pantai sebagai ac alami dari Allah. Hamparan Pemandangan laut yg luas dgn pulau2. Mushalla t4 ibadah ada dgn air tawar yg bersih. Kedai2 makanan kecil banyak bahkan makanan berat sekalipun ada, nasi, bakso, mieso, soto dll. Disini ada juga pondok2 t4 nginapnya gaes.
Habiburrahman Habiburrahman;sebulan lalu;Positif;pantai sembilan;Cukup bagus dibanding beberapa pantai Madura yang sudah mulai rusak. Pantai 9 jadi salah satu yang masih terawat saat ini. Minimal kamar mandi, penginapan, dan kebersihan cukup terjaga. Fasilitas MCK dan musholla lumayan bersih dan layak. Akses dari pelabuhan juga mudah dan dekat.
Azizah Fajar Budiani;setahun lalu;Posiitif;pantai sembilan;"Pantai Bersih, Pasir Putih, Laut Biru, Penginapan, Jajanan, Camp, Lengkap banget disana ????
Jatuh cinta pandangan pertama sama pantai ini?? …"
Isfar Ahmad;setahun lalu;Positif;pantai sembilan;"Keren sih tempatnya buat liburan keluarga.
Sempat makan siang di gazebo dg kuliner yg ada, muantabek..
Udaranya jg sejuk, next mungkin fasumnya ditambah akan bs jd perhatian …"
Yuliyanti Zane;setahun lalu;Positif;pantai sembilan;Air pantainya terlihat biru, indah bgt.. kesana pas weekday jd sepi warung2 pd tutup masuk jg gratis krn g ada yg jaga.. cuma bayar ongkos naik perahu aja..
Desnalia Sari;2 tahun lalu;Positif;pantai sembilan;Bikin deg deg an ketika menyeberang menuju pulaunya soalnya perahunya agak sedikit masih kurang aman untuk para orang tua., maksudnya akses naik dan turun perahu ke daratan agak susah. Tapi setelah itu puas dengan pemandangan pantainya. …
Rizal;setahun lalu;Positif;pantai sembilan;Pantai dengan ombak yang tenang dan cukup murah tiket masuk maupun penyeberangannya. Pasir putih dan tersedia penginapan tepi pantai yang murah dan cukup bagus. Perlu ditingkatkan kebersihan tepi pantainya oleh pengelola. Semoga tetap asri dan berkembang maju
herlina mega;setahun lalu;Positif;pantai sembilan;View sangat cantik tapi fasilitas belum cukup tapi gpp sudah bisa dibayar dengan kecantikan alam
cindy satriyo;2 tahun lalu;Positif;pantai sembilan;Salah satu pantai di Sumenep Madura yang bagus dan bersih. Pantai sembilan ini mirip gili trawangan di lombok. Bisa jadi alternatif kalau kejauhan ke lombok hehehe. Butuh waktu 30-45 menit untuk menyebrang ke pantai sembilan. Tiket sekali …
Quen Sylvi;3 tahun lalu;Negatif;pantai sembilan;"Pantainya bagus. Kelihatannya bening
Tapi waktu renang jadi butek soale isinya lumpur bawah'e.
Penginapannya puanas, dapetnya yg paling pojok. …"
Hambali Bachtiar;3 bulan lalu;Positif;pantai sembilan;Pantai masih bersih walaupun tidak terlalu besar. Akses kesana juga tidak sulit, Ada ojek yang bisa mengantar sampai ke pelabuhan.. Bagi yang gak punya kendaraan, pake bis bisa, lanjut pake ojek. …
Febri NW;2 tahun lalu;Positif;pantai sembilan;Seperti surga yang tersembunyi, pantai sembilan sungguh bagus dan bersih dengan pemandangan awan yang cerah, laut yang biru dan pasir putih nya. Sungguh memanjakan mata. Untuk kesana anda perlu menyeberang dengan biaya kapal 10rb per orang …
Faisal Ibrahim;5 bulan lalu;Negatif;pantai sembilan;Jauh2 nyebrang pake perahu, pantainya mirip2 lombang, mending lombang aja
Silviana Triagustian;3 tahun lalu;Positif;pantai sembilan;Pantai dengan pasir putih yang indah dengan cuaca yang cerah, banyak gazebo untuk berteduh dan tersedia penginapan bagi para wisatawan yang berkunjung serta tersedia warung yang menjual makanan dan minuman yang cukup ramah dikantong, dapat ditempuh dengan kapal boat kecil dari pelabuhan tanjung saronggi
Halim Asyari;2 tahun lalu;Positif;pantai sembilan;Destinasi yg bagus untuk liburan, tempatnya bersih, pantainya bagus, airnya jernih. Jika kesana pakai motor lebih baik dibawa dan membayar uang tambahan saat menyebrangan  dg perahu dan disana kalian bisa keliling pulau giligenting …
Muhammad Nurul Ikromi;2 tahun lalu;Positif;pantai sembilan;Pantai sembilan merupakan Salah satu wisata yang wajib untuk di kunjungi jika anda pergi ke Sumenep, untuk menuju tempat ini anda harus menyeberang ke pulau gili labak menggunakan perahu yang perjalanannya sekitar 30 menit untuk sampai ke …
Moh Hamdani;5 tahun lalu;Positif;pantai sembilan;Lumayan enak buat camp..  Bisa bawa tenda sendiri.....  Utk kapal slalu tersedia dr jam 5 sampai sore...  Harga 10rb / orng. Karcis masuk k pantai 9 10rb/orng. Ada tempat nginep...  Ac 500k …
Ahmad Mujadid;3 tahun lalu;Positif;pantai sembilan;Dapat ditempuh 1 jam dari Pelabuhan Tanjung, Sumenep, Madura. Akses kendaraan  umum menuju Tanjung sangat mudah, baik menggunakan angkot maupun ojek. Harap diperhatikan dan perbanyak bertanya dengan daerah baru. Apabila cuaca cerah Pantai …
mas Jon;4 tahun lalu;Positif;pantai sembilan;Salah satu destinasi wisata di kabupaten Sumenep yang wajib dikunjungi. Tepatnya berada di Kecamatan/Pulau Gili Genting desa Bringsang kabupaten Sumenep. Untuk sampai kesana, bisa ditempuh dari Pelabuhan Tanjung, Saronggi, Sumenep. …
fina;11 bulan lalu;Positif;pantai sembilan;perjalanannya menikmati indahnya samudera, di pantainya ombaknya tenang dan bermain banana boats. sangat worth in untuk yang fall in love with samudera?? …
Agung Budiarjo;setahun lalu;Positif;pantai sembilan;pantainya keren, bersih, cottage nya juga nyaman, makanan oke, suasana pantai vibesnya dapet banget
Lingga Kurniawan;2 tahun lalu;Positif;pantai sembilan;"pantainya baguuus...
fasilitas lengkap...sudah banyak penginapan..bisa buat ngecamp
harus nyebrang dulu dr Pelabuhan Tanjung Saronggi Kab. Sumenep...sktr 30mnt nyebrang ke pulau.motorpun juga bisa nyampe pulau."
Must Itjand;setahun lalu;Positif;pantai sembilan;Tempat wisata pantai yg rekomended, view pantai dan pasirnya halus bersih dan warnanya instagramable, cocok untuk wisata keluarga.
