user;waktu;ulasan;sentimen
Rizky Ramadhana;2 minggu lalu;Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan , biaya parkir 10ribu terus nyebrang per orang sekitar 20rb kalo engga 10rb (lupa) dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget . Awas makelar bos hahahaa;Positif
Alfin Zayn;sebulan lalu;"Pantai nya bagus, air nya jernih dan bersih, asri dan alami.
Nyaman buat bersantai atau liburan bersama keluarga ataupun teman²...";Positif
Nurimama Tuss;sebulan lalu;Pantai nya bagus, kalo weekday sepi. Enak berasa pantai pribadi. Cuman akses nya belom bagus. Buat yang traveling individu harus nunggu perahu nya penuh baru berangkat.jadi gada jam keberangkatan. Bisa nunggu lama di pelabuhan nya;Positif
dimi ismanto;5 bulan lalu;Pantai ini indah sekali terletak di Pulau Gili Genting . Tenang. Dan cukup bersih...untuk mencapainya...perlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep. …;Positif
Aina Lee;sebulan lalu;Pantainya bersih, tenang cocok buat healing menghindari keramaian kota.;Netral
Dewi Nindita;7 bulan lalu;Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati, salah satunya gili genting , pantai sembilan. Kalo dr sumenepnya nyebrang 30 menit aja. Ohiya , perahunya cuman bisa angkut manusia dan …;Positif
Taji Sanditias Zuhro;4 bulan lalu;Bagus, Biaya masuk murah, Tersedia tempat penginapannya jg 300-500rb per malam;Positif
Ahmad Rofiu Syakir;5 bulan lalu;"Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfoto-foto ria dan wahana permainan yg tentunya seru untuk dimainkan, dan di sini juga banyak rumah"" kecil yg bisa di sewa untuk …";Positif
Ismi Khaerunnisa;11 bulan lalu;Masuk kesini dikasih gratis sama penjaga pantainya baik banget. Namanya bang Saipul haha makasih banyak yaa bang. Mana mau direpotin lagi penjaga pantainya hahaha. Disuruh nganterin ke tengah laut yang ada rumah apungnya itu. Mau aja :( …;Netral
Muhammad mukti;8 bulan lalu;"Pantainya bagus. Pasir putih ombak juga gak gede2.
Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes. …";Positif
dwi merak;setahun lalu;"Pantainya bagus dan lumayan bersih. Hanya sayangnya kurang luas.
Tiket masuk 15rb.
Tersedia tempat menginap 300rb (kamar mandi luar), 500rb (kamar mandi dalam). …";Positif
Abdus Sukur;3 minggu lalu;Pantai ini cukup bgus cuma infrastrukturx kurang bangaus banyakx sampah terutama di tempat wisatax masih kurang bersih;Negatif
Tsurayya Kamila Novita;setahun lalu;Pantai yang sungguh cantik dengan pengelolaan yang baik. Fasilitas lengkap. Sangat cocok dijadikan tempat liburan bersama keluarga, rekan maupun sahabat. Saran bisa ditambah spot spot fotonya ?? kurang banyak... Semoga bisa diperindah lagi penampilannya...sehingga tambah mempesona. Recommended for healing. …;Positif
abang D;setahun lalu;Tempatnya sejuk dibawah pohon laut yg di hembus angin semilir pantai sebagai ac alami dari Allah. Hamparan Pemandangan laut yg luas dgn pulau2. Mushalla t4 ibadah ada dgn air tawar yg bersih. Kedai2 makanan kecil banyak bahkan makanan berat sekalipun ada, nasi, bakso, mieso, soto dll. Disini ada juga pondok2 t4 nginapnya gaes.;Netral
Habiburrahman Habiburrahman;sebulan lalu;Cukup bagus dibanding beberapa pantai Madura yang sudah mulai rusak. Pantai 9 jadi salah satu yang masih terawat saat ini. Minimal kamar mandi, penginapan, dan kebersihan cukup terjaga. Fasilitas MCK dan musholla lumayan bersih dan layak. Akses dari pelabuhan juga mudah dan dekat.;Positif
Azizah Fajar Budiani;setahun lalu;"Pantai Bersih, Pasir Putih, Laut Biru, Penginapan, Jajanan, Camp, Lengkap banget disana ????
Jatuh cinta pandangan pertama sama pantai ini?? …";Netral
Isfar Ahmad;setahun lalu;"Keren sih tempatnya buat liburan keluarga.
Sempat makan siang di gazebo dg kuliner yg ada, muantabek..
Udaranya jg sejuk, next mungkin fasumnya ditambah akan bs jd perhatian …";Positif
Yuliyanti Zane;setahun lalu;Air pantainya terlihat biru, indah bgt.. kesana pas weekday jd sepi warung2 pd tutup masuk jg gratis krn g ada yg jaga.. cuma bayar ongkos naik perahu aja..;Positif
Desnalia Sari;2 tahun lalu;Bikin deg deg an ketika menyeberang menuju pulaunya soalnya perahunya agak sedikit masih kurang aman untuk para orang tua., maksudnya akses naik dan turun perahu ke daratan agak susah. Tapi setelah itu puas dengan pemandangan pantainya. …;Netral
Rizal;setahun lalu;Pantai dengan ombak yang tenang dan cukup murah tiket masuk maupun penyeberangannya. Pasir putih dan tersedia penginapan tepi pantai yang murah dan cukup bagus. Perlu ditingkatkan kebersihan tepi pantainya oleh pengelola. Semoga tetap asri dan berkembang maju;Positif
herlina mega;setahun lalu;View sangat cantik tapi fasilitas belum cukup tapi gpp sudah bisa dibayar dengan kecantikan alam;Positif
