nama;waktu;ulasan;sentimen
Betel Nur Baytie;10 bulan lalu;Suasananya menyenangkan, tempatnya sejuk tapi sayang tidak seperti beberapa tahun silam. Beberapa pohon yang ada sepertinya ditebang, lebih rindang yang dulu.;Netral
M. Mufid Albarazi;10 bulan lalu;Tempat yg bagus untuk healing!!!;Positif
012_Nurul Fajriyah Hidayat Putri;10 bulan lalu;Destinasi wisata yang belum berkembang ini, yang dapat ditemukan di Desa Tebul Barat Kabupaten Pamekasan Jawa Timur, Kecamatan Pegantenan, dan Pegantenan, memberikan pengunjung rasa alam bebas yang segar. Daerah ini menikmati udara bers …;Netral
Aufar Fikri Dimyati;10 bulan lalu;Sebenarnya masih sekitar 30-45 menit dari Pamekasan, tempat yang sangat sejuk, pema …;Netral
Rie craft;11 bulan lalu;Wisata alam yg slalu berinovasi tiada henti...??;Netral
Abdul Latif;11 bulan lalu;Baguss si sebenernya tapi kalo di kasih sarana permainan yg menarik pasti lebih bagus, dan pastinya lebih menarik perhatian pengunjung ?? …;Positif
Alfin dores;11 bulan lalu;Hasilnya memuaskan;Netral
Nizaroh;2 bulan lalu;Gda gunanya akun official instagramnya, di dm gadibales². Dan fasilitas disana kurang memadai dari segi tenda, homecamp, kamar mandi dan tempat sampah sedikit.;Negatif
Hafni Iva N;2 hari lalu;Salah satu tempat wisata yang berada di Kabupaten Pamekasan Madura. Cocok ke sini kalau sore menjelang malam, pemandangannya bagus. Kalau malam ada live music ???? …;Positif
Syarif Maulana;2 tahun lalu;Tempat wisata keluarga dengan pemandangan alam yang indah dan hawa yang sejuk. Banyak tempat untuk spot foto latar belakang pemandangan yang indah. Harga makanan dan minuman relatif standar.  Waktu tempuh ketempat wisata ini kurang lebih …;Positif
Lionelsi Kudo;2 tahun lalu;tempat nya sih gak luas, tapi nyaman banget buat piknik. set foto2nya udah mulai banyak...saran aja, bunga warna warni nya ditambahin...pasti makin kerennnnnn;Positif
Nurdin Rizqiansyah;2 tahun lalu;"Tempat wisata yang bagus...
Tidak terlalu jauh dr pusat kota pamekasan...
Akses jalannya udah baik... …";Positif
Lingga Kurniawan;2 tahun lalu;"tempatnya baguus...
namuun perlu lebih ditambahi fasilitaas"" dan diperbaiki fasilitas yg sdh rusak
kalo ke puncak ratu bagus di saat senja.
bisa menikmati matahari terbenam ?????? …";Positif
Qur'Aini Meliana;2 tahun lalu;"Tempat nya enak, dingin, udara nya sejuk
Cocok untuk camping disini, atau ingin sekedar menghabiskan waktu dg keluarga
Karena tempat nya nyaman untuk melepaskan penat";Netral
cherry;2 tahun lalu;The view was unexpectedly amazing. Cocok  buat merenung (?) dan piknik juga mgkin. Lokasinya jauh dari kota, agak pegel juga kalo motoran. Lumayan buat tempat foto.;Netral
anbazt 86;2 tahun lalu;Tempat bagus suasana pegunungan yg sejuk dan  tempat spot foto yg menarik cuman kantin aj yg makanannya kurang lengkap......;Positif
Mia Nurhajah;2 tahun lalu;Tempatnya estetic banget.. Cocok untuk yang suka selfie2, pemandangannya luar biasa indah masyaAllah, bawaannya senang disana..;Positif
Dika Oktavian Prasetya;2 tahun lalu;Tempatnya sebenarnya sejuk, bagus, banyak pohon dan spot yg 'instagramable', namun sayang sekali pas kesana kemaren banyak sampah di spot - spot tadi. Pengunjungnya harus di edukasi lbh baik lagi. Utk pengelola mungkin bisa ditambahi lampu penerangan lagi;Positif
Anaaa;2 tahun lalu;Pas kemarin kesini pagi² banget alhamdulillah masih sepi jadinya bisa puas fotonya?? …;Netral
Alfarisi Waris;2 tahun lalu;"Bagus sih.... Tapi kayak kurang terawat...
Dan Ndak da yang jualan... Mungkin karena bukan weekend";Positif
Arif C. Permana;2 tahun lalu;Tempat spot foto yg indah...dgn pohon2 yg tinggi menjulang sehingga membuat suasana yg adem...;Positif
Rizqa Waril;2 tahun lalu;Viewnya bagus banget, memang cocok seperti namanya puncak ratu. Tempatnya bersih, tiket masuknya murah cukup Rp.10.000 untuk dewasa. Anak-anak tidak dipungut biaya tambahan. …;Positif
Alesha;2 tahun lalu;Tempat wisata yg asri dan sangat cocok untuk bersantai bersama keluarga, teman, dan atau pasangan;Netral
amalia wizaratul safina;2 tahun lalu;Tempatnya bagus.. pas bgt view nya buat foto2.. tp ada slh satu tmp yg pengamanannya krg.. trus org yg jual minuman jg terbatas bgt pilihannya, next kalo mau k sini lg bs bw minum ato snack sndri..;Positif
Khoirul Anwar;2 tahun lalu;Keren tapi tak kasih bintang tiga karena fasilitas banyak yg g d perbaiki;Positif
Bang Ibe;2 tahun lalu;View bagus bgt cocok buat santai bersama keluarga...;Positif
Rahman Ansory;2 tahun lalu;Memiliki view bagus dan juga spot foto yang bagus, kekurangannya di akses jalan yang masih tidak ada papan petunjuk jalan menuju lokasi.;Positif
nounah legis;2 tahun lalu;Keistimewaan @puncakratu ada di sore hari dn jg malam hari. Bisa menikmati senja dn melihat keindahan kota dri ketinggian;Positif
Ochi Vlog;2 tahun lalu;Tempat ok, jalan menuju lokasi juga ok, hanya saja kurangnya fasilitas didalam.;Netral
Lisdia65 Diah;2 tahun lalu;Tempat wisata pamekasan yang lagi hits, cukup bayar karcis 10.000 sudah bisa menikmati wisata ini.;Netral
Patrisa Kumalasari;2 tahun lalu;Sudah banyak perubahan. Saran untuk toilet dan musholla di perbaiki lagi. Makasih ??;Netral
Mohammad Sholeh;2 tahun lalu;Rekomended buat refreshing keluarga;Netral
Entoma 6500;2 tahun lalu;Cocok buat berfoto kurang hiburan ya;Netral
aditya wicaksono;2 tahun lalu;Lumayan menarik untuk ukuran destinasi di Pamekasan;Netral
Nanik Ekawati;2 tahun lalu;Tempatnya bagus.. Adem banget.. Bikin betah..;Positif
PERSETAN FC TANAH MERAH BANGKALAN;2 tahun lalu;Tempat yang bagus buat bersantai bareng teman2 dan keluarga dengan view pemandangan dr atas puncak bukit.. banyak spot foto yang tersedia...;Positif
avin channel;2 tahun lalu;Untuk ke amanannya di tempat foto yg ada di tebing kurang sefty pagarnya kurang tinggi dan ada sebagian yg sudah patah sampahnya berserakan kebersihannya sgt kurang  tempatnya lumayan bagus;Positif
Sofiatun Imamah;2 tahun lalu;Wisata yang cocok untuk anak-anak dan keluarga;Netral
Fadya Ihsan;2 tahun lalu;Suka sekali tp d  tempat tempat extrim kurang memuaskan karna masih di bilang masih berbahaya untuk pengmbilan foto jembatanya agak bergoyang saran saya tp, maaf sebelumnya;Netral
Adim Alfarizi;2 tahun lalu;"Bagus
Cuman kurang tempat makanan
Mkanannya cuman pop mie aj …";Positif
Mohza Al;2 tahun lalu;"Tolong di jaga kelestarianya
Sampahnya jangan dibuang sembarangan";Negatif
dimi ismanto;2 tahun lalu;Tempatnya adem.. Perjalanan mudah dari arah pamekasan. Nyaman banget.. Banyak spot foto. Tempat tamasya favorit utk kluarga.;Netral
Ika bela;2 tahun lalu;Is the best @puncak ratu.wisata paling menarik untuk liburan.cuaca yang amat segar.gc akan rugi deh klo kalian kesini?;Netral
Fahri Idrus;2 tahun lalu;Tempat nya lumayan bagus;Positif
POP Ind TV;2 tahun lalu;Tempat pas' cuma masih ada sampahnya utk da erah pedesaan mending dimurahin dikit kek, terlalu mahal.;Negatif
biker insyaf;2 tahun lalu;View nya bagus klo sore hari,tp klo musim penghujan jalanx licin.so hati2 ya gaes;Positif
Ula Nur rahmatin;2 tahun lalu;Tempatnya bagus buat liat sunset tapi tiket masuknya terlalu mahal 35k 1 orang;Positif
Syaifullah Sattari;2 tahun lalu;Tepatnya yang sejuk dan nyamana lumayan indah pemandangannya hanya sedikit kurang bangus jalan akses masuknya dan penujuk arahnya kurang dari arah kota pamekasan;Positif
Dijah- rus;2 tahun lalu;"Yah lumayan,
Hanya saja tempatnya terlalu jauh,
Pas nyampek tempat buat fotonya terlalu sedikit";Netral
Lukman Alves;2 tahun lalu;Viewnya Bagus buat santai dan menghilangkan penat.. byk spot foto;Positif
Eddy Copler;2 tahun lalu;Bagus sejuk enak tapi sayang tidak ada petunjuk jalan nya menuju lokasi;Positif
Ufick Zabarela;2 tahun lalu;Pemandangan alam yang sangat penting untuk selfie sama teman atau pacar dan apalagi suami istri...;Netral
Akun Bisnis;2 tahun lalu;Di sana indah bagus. Cuman karcis masuknya udah agak mahal ?? …;Positif
Abd Kabar;2 tahun lalu;"Udah jauh2 ternyata tempatnya tutup
Tempat wisata di tutup cuman gara2 di boking orang
Tempat wisata Macam apa tu";Netral
???? ?????;2 tahun lalu;Pemandangan lumayan Menarik buat spot foto;Netral
Arif Wicaksono;2 tahun lalu;lumayanlah;Netral
Ramli Roly;2 tahun lalu;Sejuk bersih, toilet nanti ditambah ya...;Netral
Habibi Moza;2 tahun lalu;Tempat rekreasi yg spekta sekali!;Netral
Hairul Madani;2 tahun lalu;Tempat n view nya keren.???? …;Positif
Ani Bahtiar;2 tahun lalu;Spotnya harus dikelola dg baik lagi;Netral
Murdi;2 tahun lalu;Cocok buat piknik atau camping;Netral
Jeye 91;2 tahun lalu;Indah alam ciptaan-Mu;Positif
Miya quen;2 tahun lalu;Senang;Netral
jakie mahfud;2 tahun lalu;Tempat nya recommended buat santai;Netral
Joko Kholiq;2 tahun lalu;Bagus pemandangan nya;Positif
andi mulyono;2 tahun lalu;Perlu update dan jaga kebersihanya;Netral
Ach Junaidi Junaidi;2 tahun lalu;Panorama alam nya sangat indah;Positif
Zacky Rizand;2 tahun lalu;Cocok untuk ngumpul dengan keluarga;Netral
syaiful abbas;2 tahun lalu;Pemandangannya bagus...;Positif
Bolo Bolo;2 tahun lalu;Bagus wisatanya;Positif
Daifil Amar Official;2 tahun lalu;Sangat bagus;Positif
Husni Mubarok;2 tahun lalu;Lumayan seru;Netral
ary Valent;2 tahun lalu;Suka;Netral
F_ik R_amn;2 tahun lalu;Lumayan;Netral
Raden Wijaya;2 tahun lalu;Bagus;Positif
suwandi _;2 tahun lalu;Lebur;Netral
al sya;2 tahun lalu;Akan di kunjungi;Netral
IM ghazali;2 tahun lalu;Mantap;Netral
Zainenda 1191;2 tahun lalu;Mantap;Netral
Tutur P. Purbosayekti;2 tahun lalu;Pemandangannya sangat bagus, sayang sepertinya kurang terawat, mungkin karena pandemi tentunya. Covid segera pergi;Positif
Edo Aditya;2 tahun lalu;"ini adalah tempat yang sangat bagus untuk liburan bersama keluarga kami.
namun beberapa photoboots tidak dirawat dengan baik dan ""terlihat"" ber …";Positif
Abd Rahem;2 tahun lalu;Bagus, keren, cant …;Positif
Herlina S;2 tahun lalu;Sangat sepi dan berdebu. Kurangnya toilet. Toilet yang tersedia berada di dekat pintu masuk. Jika Anda suka memotret, terutama dari ketinggian, inilah tempatnya. Tidak banyak yang bisa Anda lakukan  …;Netral
subairi;2 tahun lalu;Keren n alami;Positif
bu'sobu' Channel;2 tahun lalu;Keren dan canti …;Positif
Marlyn Syahimatus Zuhro;2 tahun lalu;bersih dan keren....;Positif
Goes Ipoel;2 tahun lalu;Tempatnya keren :);Positif
taufiex jungle;2 tahun lalu;Suasananya sejuk;Netral
Alim Muhaimin;2 tahun lalu;Tempat yang bagus unt …;Positif
Mazro Almas;2 tahun lalu;bukit yang ind …;Netral
husein alaydrus;2 tahun lalu;Bagus;Positif
GBR05 FARM;2 tahun lalu;mem …;Netral
Noval Arobi;2 tahun lalu;Ppp;Netral
Wildan ArHa;2 tahun lalu;Permata Tersembuny …;Netral
Abede Moein;2 tahun lalu;Bagu …;Netral
Kandai Imam5;2 tahun lalu;Ha …;Netral
050_Nifi Maulidya;3 bulan lalu;Tempatnya bagusss banget udah berkali² kesini tapi ga bosen². Fasilitasnya lengkap mulai dari tempat parkir, kamar mandi, kantin, musholla, tempat istirahat dan spot foto menarik.;Positif
Vadia Bilqis;3 bulan lalu;Indah..sering kesini pas malem..dan yaa byk yg udah diperbaiki dan mungkin lagi tahap perluasan,kemarin pas kesana tambah luas dan nambah kek rumah²an gitu,good bgt,moga makin maju utk kedepannya dan makin jadi sorotan warga²lainnya;Positif
faiza kara;3 bulan lalu;Kamar mandinya bau jadi kurang nyaman untuk menggunakan fasilitas nya apalagi untuk camping. Pengamanan pada saat malam hari juga kurang sampai ada segerombolan ormas menghampiri.;Netral
ampriyanto 170365;3 bulan lalu;Tempat yang nyaman santai romantis sejuk dan indah cocok utk keluarga group maupun rombongan..;Positif
zaini Art;3 bulan lalu;Bukit dengan pemandangan indah, di tata dan dikelola dengan baik oleh desa Tebul Barat.;Positif
Rifqi Yasfa Official;3 bulan lalu;Lumayan bagus;Positif
Muhally Ok;3 bulan lalu;Keren dan canti …;Positif
As syakur Atuba;3 bulan lalu;menye …;Netral
MDR RALOVA MADURA;3 minggu lalu;Bermanfaat bagi masyarakat Indonesia yang kehabisan bensin;Netral
Bustomi Menggugat;3 tahun lalu;Keren. Suka pemandangannya. Asri. Bisa pesta durian juga. Udara segar. Pemandangan alam perdesaan cocok buat menghilangkan stress dan sarana liburan keluarga. Cuman sayangnya toiletnya ga ada airnya. Saran saya sarana kamar mandi dan toilet …;Positif
Nis Anisyah;3 tahun lalu;Hawa nya sangat sejuk sekali. Sangat cocok untuk camping bareng keluarga atau sahabat. Pemandangan dari ketinggian yg menakjubkan membuat kita betah disini. Tiket masuk hanya 10k / orang kok. Untuk sampai ke tempat ini harus berjuang …;Netral
