user;waktu;sentimen;lokasi;ulasan
Nadia Hayuningtyas;3 minggu lalu;Negatif;Bukit Jaddhih;"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …"
Yanti Mei (Yanti);3 bulan lalu;Positif;Bukit Jaddhih;Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. 
Hadi Susanto (Mas Guru);2 bulan lalu;Negatif;Bukit Jaddhih;Jadi salah satu alternatif wisata di pulau Madura. Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi. Dibagian lain sdh berubah fungsi menjadi tempat wisata. Akses kesini lumayan sulit …
funansia donis;4 bulan lalu;Positif;Bukit Jaddhih;Kemarin ke bukit jaddhih karena kebetulan mau jalan’ ke jembatan Suramadu. Pertama lihat foto’ dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih, tetapi pada saat ke sana sangatlah diluar eksepetasi.
Ditha Aprillia;2 bulan lalu;Negatif;Bukit Jaddhih;Biaya masuk mobil 5rb, semoga next ada papan petunjuk jalan ke wisata (soalnya kalo pake maps diputer2in) & jalan kesana lebih baik. Krn mobil kecil uda berusaha menghindar tetep gasruk, alhasil cat mobil di bemper depan ngelupas
Affandi Fauzan Syawal;3 bulan lalu;Positif;Bukit Jaddhih;Masuk uang yg punya jalan tambang 20rb, masuk ke parkir 5rb per org. View bagus bngt, tambang batu kapur aktif.
Dewy Antriani;5 bulan lalu;Negatif;Bukit Jaddhih;Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …
Aulia Aisya Cahyarani;sebulan lalu;Positif;Bukit Jaddhih;salah satu wisata di madura yg wajib bgt dikunjungi. nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini, ada danaunya jg loh, cakep bgt klo buat foto2. tapi medan utk kesini agak jelek karena banyak bebatuan jalannya. yg mau liburan ke madura, coba kesini deh guys?? …
Sulaiman Rhosyid;5 bulan lalu;Positif;Bukit Jaddhih;Minggu kemarin ngantar anak-anak wisata... Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz... …
om_jum;2 bulan lalu;Positif;Bukit Jaddhih;Tebing² buatan yg sangat menakjubkan,recomend banget untuk dikunjungi.akses sangat mudah sekitar 40 menit dari Jembatan Suramadu.
Afrizal Fakhmy;2 bulan lalu;Positif;Bukit Jaddhih;Tempatnya cukup bagus terutama untuk wisata keluarga. Selalu gunakan masker karena cukup berdebu
sunar taufiq;sebulan lalu;Negatif;Bukit Jaddhih;Fasilotas masih minim, perlu pegembangan dengan sentuhan artistik agar lebih menarik wisatawan
AR channel;5 bulan lalu;Positif;Bukit Jaddhih;Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing
Diva Shafira Artanti;2 bulan lalu;Positif;Bukit Jaddhih;Tempatnya luas, cocok untuk digunakan foto-foto, lumayan naik turun jalannya, disarankan kesini menggunakan sepatu, karna kalau musim hujan ditakutkan licin
Atria Handono;6 bulan lalu;Positif;Bukit Jaddhih;Kesini ketika buat video klip, ketika puasa, kebetulan mendung dan sempat hujan sebentar. Waktu itu kita ada yg menyertai dan diantar ke spot-spot terbaik yang jarang dipakai orang untuk spot photo atau video. …
christiyanto satriyo wibowo;5 bulan lalu;Positif;Bukit Jaddhih;Menurut aku cukup bagus untuk jalan2 ke sini. Cuman kitq ga tahu mana penarik karcis mana yg bukan. Kita naik mobil dicgat orang bawa karcis suruh bayar
fitria ferayanti;4 bulan lalu;Positif;Bukit Jaddhih;Banyak sekali spot foto yg keren & bagus, disarankan datang pagi/sore, karna kalo siang panasnya minta ampun...
Ismi Yui;5 bulan lalu;Positif;Bukit Jaddhih;Bagus apalagi kalau cuaca mendukung dan datang di waktu yang tepat sekitar jam 8 atau 9 karena matahari sudah berada diatas tapi suhu tidak panas terik dan lebih menaikkan pesona alamnya
RUSSELL. ID;7 bulan lalu;Positif;Bukit Jaddhih;"Pengalaman wisata alam yang sangat menyenangkan, kondisi masih lumayan sepi dikarenakan berkunjung di hari jumat.
Kurang penunjuk arah yg jelas. Semoga kedepannya pengelolaan semakin baik lagi"
Ariska Dewi;4 hari lalu;Negatif;Bukit Jaddhih;Dateng pas weekend, buat survey. Bareng sama truk truk tambang dan jalannya rusak. Dibantu warga lokal buat nyari jalan yg agak mendingan. Sampe lokasi airnya surut karna emang gak ada ujan. Gersang banget dan lebih baik bawa masker. Debu dimana mana
