lokasi;ulasan;sentimen
Bukit Jaddhih;"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …";Negatif
Bukit Jaddhih;Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. ;Positif
Bukit Jaddhih;Jadi salah satu alternatif wisata di pulau Madura. Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi. Dibagian lain sdh berubah fungsi menjadi tempat wisata. Akses kesini lumayan sulit …;Negatif
Bukit Jaddhih;Kemarin ke bukit jaddhih karena kebetulan mau jalan’ ke jembatan Suramadu. Pertama lihat foto’ dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih, tetapi pada saat ke sana sangatlah diluar eksepetasi.;Positif
Bukit Jaddhih;Biaya masuk mobil 5rb, semoga next ada papan petunjuk jalan ke wisata (soalnya kalo pake maps diputer2in) & jalan kesana lebih baik. Krn mobil kecil uda berusaha menghindar tetep gasruk, alhasil cat mobil di bemper depan ngelupas;Negatif
Bukit Jaddhih;Masuk uang yg punya jalan tambang 20rb, masuk ke parkir 5rb per org. View bagus bngt, tambang batu kapur aktif.;Positif
Bukit Jaddhih;Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …;Negatif
Bukit Jaddhih;salah satu wisata di madura yg wajib bgt dikunjungi. nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini, ada danaunya jg loh, cakep bgt klo buat foto2. tapi medan utk kesini agak jelek karena banyak bebatuan jalannya. yg mau liburan ke madura, coba kesini deh guys🤍 …;Positif
Bukit Jaddhih;Minggu kemarin ngantar anak-anak wisata... Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz... …;Positif
Bukit Jaddhih;Tebing² buatan yg sangat menakjubkan,recomend banget untuk dikunjungi.akses sangat mudah sekitar 40 menit dari Jembatan Suramadu.;Positif
Bukit Jaddhih;Tempatnya cukup bagus terutama untuk wisata keluarga. Selalu gunakan masker karena cukup berdebu;Positif
Bukit Jaddhih;Fasilotas masih minim, perlu pegembangan dengan sentuhan artistik agar lebih menarik wisatawan;Negatif
Bukit Jaddhih;Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing;Positif
Bukit Jaddhih;Tempatnya luas, cocok untuk digunakan foto-foto, lumayan naik turun jalannya, disarankan kesini menggunakan sepatu, karna kalau musim hujan ditakutkan licin;Positif
Bukit Jaddhih;Kesini ketika buat video klip, ketika puasa, kebetulan mendung dan sempat hujan sebentar. Waktu itu kita ada yg menyertai dan diantar ke spot-spot terbaik yang jarang dipakai orang untuk spot photo atau video. …;Positif
Bukit Jaddhih;Menurut aku cukup bagus untuk jalan2 ke sini. Cuman kitq ga tahu mana penarik karcis mana yg bukan. Kita naik mobil dicgat orang bawa karcis suruh bayar;Positif
Bukit Jaddhih;Banyak sekali spot foto yg keren & bagus, disarankan datang pagi/sore, karna kalo siang panasnya minta ampun...;Positif
Bukit Jaddhih;Bagus apalagi kalau cuaca mendukung dan datang di waktu yang tepat sekitar jam 8 atau 9 karena matahari sudah berada diatas tapi suhu tidak panas terik dan lebih menaikkan pesona alamnya;Positif
Bukit Jaddhih;"Pengalaman wisata alam yang sangat menyenangkan, kondisi masih lumayan sepi dikarenakan berkunjung di hari jumat.
Kurang penunjuk arah yg jelas. Semoga kedepannya pengelolaan semakin baik lagi";Positif
Bukit Jaddhih;Dateng pas weekend, buat survey. Bareng sama truk truk tambang dan jalannya rusak. Dibantu warga lokal buat nyari jalan yg agak mendingan. Sampe lokasi airnya surut karna emang gak ada ujan. Gersang banget dan lebih baik bawa masker. Debu dimana mana;Negatif
Bukit Jaddhih;"Goa pote, bangkalan
Msh di sebelahnya dg bukit jaddih juga.
Mungkin artinya goa putih, krn bekas galian gn kapur, jd pasti putih. ";Positif
Bukit Jaddhih;Tempatnya bagus, sayang pas kesana pas musim kemarau jadi jalanan berdebu karena galian tambang kapur;Positif
Bukit Jaddhih;viewnya bagus, bekas area tambang jadi spot foto2;Positif
Bukit Jaddhih;"Bekas tambang kapur di banhkalan madura. Sangat aesthetic utk lokasi foto dan video. Tiket masuk murah hanya 5rb per orang.
Ada tour guide, anak muda sekitar .. mereka jg jago take foto dan video. …";Positif
Bukit Jaddhih;Wisata gunung kapur yg indah...kalau musim kemarau panas banget;Positif
Bukit Jaddhih;Bagus buat foto² rekomendasi kesini pagi atau sore sekalian, tutup jam 17.30;Positif
Bukit Jaddhih;jalan masuk sekitar 300 m sangat bergelombang, air didanau kering pada saat musim kemarau;Negatif
Bukit Jaddhih;Bukit jeddih ini bukit kapur yang penambangannya masih aktif. Namun ada sisi yang sudah tidak beroperasi dan dijadikan wisata. Untuk view yang ditawarkan menarik. Untuk fasilitas ada warung makan, toilet (kurang tau keadaannya). Akses …;Positif
Bukit Jaddhih;"Jalan masuk bisa dibilang parah bgt,
Karcis masuk bayar 2X, pertama 10k, kedua 5k per org,
Tp view nya indah menurut saya, masih terlihat alami, …";Positif
Bukit Jaddhih;kesini H+2 hari raya Idul fitri 2023 jalan agak rusak tapi senang aja suasananya unik dan ramai suara petasan, knalpot anak2 motor khas jaddih bangkalan madura.;Positif
Bukit Jaddhih;tempat wisata ramah dikantong, hanya saja akses nya kurang nyaman, semoga mendapat perhatian & prioritas dr pemda setempat untuk akses menuju ke tmp wisata dan kedepannya makin tertata..👍🏻👍🏻 …;Positif
Bukit Jaddhih;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …;Positif
Bukit Jaddhih;Bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal (gak mulus lah) itu saja kendalanya...semoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit Jaddih ke depannya ,;Positif
Bukit Jaddhih;Cukup luas dan ada pemandu nya klo masuk.;Positif
Bukit Jaddhih;"Punya pengalaman yg ga mengenakan disini..
Yg pertama emg bnyak pungli..yg kedua pas ke kamar mandi didekat warung dikasih tau sm pemilik jangan lewat jalur utama bnyk begal disuruh lewat jln 1nya..eh …";Negatif
Bukit Jaddhih;Masuk gang pertama kali bayar seikhlasnya gitu ke warga. Lalu mau masuk areanya bayar lagi 20rb untuk mobil. Pas sudah di areanya yang luas, itu nanti kita bisa milih di area tertentu yang (sepertinya) dimiliki oleh beda-beda orang. Kalau …;Negatif
Bukit Jaddhih;"Tiket masuk roda 4 Rp20.000
Tiket pertandingan orangnya 5rb
Sudah waktunya untuk direnovasi.. Penampilan diperbaharui..";Positif
Bukit Jaddhih;"Merupakan daerah tambang batu kapur yang juga dimanfaatkan sebagai obyek wisata.
Pengelolaan oleh pemerintah masih sangat minim, akses jalannya sulit dan banyak …";neb
Bukit Jaddhih;"Pemandangannya cukup instgramable.. bagus buat foto foto, hanya jalan akses kurang mulus, biaya parkir 20 rb.. bayar biaya masuk 5000 per orang..
Tempatnya belum dikelola secara profesional masih dikelola penduduk setempat. Tempatny agak kurang terawat .tp kalo dikelola lebih baik lagi bisa jadi hidden gemsnya di madura";Positif
Bukit Jaddhih;"Banyak yang bilang banyak pungli, mungkin iya,
Masuk kita di minta parkir 20.000 untuk mobil,
Kemudian di jalan kita di cegat dan di arahkan masuk ke gua masuk bayar lagi …";Negatif
Bukit Jaddhih;Bukit Jaddih adalah tempat yang cocok buat yang pingin ngetrip tipis, di Bukit Jaddih anda akan disuguhi pemandangan bukit kapur dan panorama alam yang sangat bagus buat para foto grafer dan mungkin yang ingin prewed. …;Positif
Bukit Jaddhih;Ini adalah salah satu wisata terutama untuk yg suka foto2, di area madura. Tp tempat ini jd tidak terlalu jauh dari surabaya, so bagi kalian arek suroboyo, mampir rene cuk. …;Positif
Bukit Jaddhih;Sepi dan kurang perawatan setelah covid.  Wisata murah fan menarik;Positif
Bukit Jaddhih;Sayang pas kesini Air kolamnya  gak ada;Negatif
Bukit Jaddhih;Bukit Jaddih sejatinya adalah tambang kapur. Uniknya, saat ini pertambangan masih berlangsung, sehingga ada alat berat dan truk yang berlalu-lalang mengangkut batu kapur. …;Negatif
Bukit Jaddhih;Situs penambangan kapur yang sangat luas, dan tampaklah bukit kapur yang indah. Kalau ke madura coba mampir, sekalian ke bebek sinjay. Areanya sangat luas, pas cuaca cerah hasil foto juga sangat instagramable bgt. Masuk cm bayar parkir. Di dalamnya ada kolam renang dan danau tapi dikenakan tiket tambahan.;Positif
Bukit Jaddhih;Tempat wisata bukit jaddhih ini menjadi primadona di madura, tak kalah bagusnya dengan pantai yang ada di madura...tempat ini merupakan tempat wisata dengan bukit kapur, sehingga akan sangat kotor jika kita kesini..tapi itu semua terbayar …;Positif
Bukit Jaddhih;Pamandangannya bukit bekas hasil tambang kapur cakep banget (instagramable)..cm sayang aksesnya kesana harus melewati jalanan rusak (jadi akses kluar masuk truk tambang juga). Saya naik mobil dikenakan karcis 20ribu di akses masuk …;Positif
Bukit Jaddhih;"Bagus buat foto2.. sayangnya jalan menuju TKP masih kurang bagus. Juga fasum agar ditingkatnya shg pengunjung nyaman..
Semoga kedepan makin tertata..👍🏻👍🏻 …";Positif
Bukit Jaddhih;"Saya ke sini juni 2019

Bukit jaddih ini adalah penambangan kapur yang dijadikan lokasi wisata.. …";Positif
Bukit Jaddhih;Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas;Positif
Bukit Jaddhih;"Kurang bagus terutama di bagian tiket...
Terlalu banyak minta uang atau tidak resmi.
Uang masuk 30rbu katanya sudah free sampai tempat. …";Positif
Bukit Jaddhih;wisata yg masih tergolong mahal, dengan pemandangan & suasana seperti itu : panas, gersang,  fasilitas minim, kotor & banyak pungli.  untuk menuju lokasi ini saja harus berhati2 dgn jalan sempit & berlubang, polisi tidur dimana2, pengendara …;Negatif
Bukit Jaddhih;Tempat yg indah, ada guide yg ramah membantu kita👍 …;Positif
Bukit Jaddhih;Tempatnya menurut saya biasa aja utk viewnya tapi kalau bisa pakai jasa guide aja utk dapat foto-foto bagus viewnya malah jadi terlihat keren tempatnya 👍,, …;Positif
Bukit Jaddhih;Sebenarnya ini penambangan batu yg masih aktif, Tp lumayan bagus..ada danau kecil yg dilengkapi dg persewaan gethek bambu..sayang unt biaya tiket nya termasuk mahal. Unt mobil kena 20rb.belum ketika kita masuk ke bukit ada lagi..trus …;Positif
Bukit Jaddhih;Ada 3 spot wisata yang bisa kita kunjungi. Ada kolam renang, Danau Biru, atau naik ke Bukit. Kalau mau ke Bukit Harus lebih hati-hati karena melewati jalan kendaraan penambangan batu kapur. Jalannya menanjak dan tidak rata. Sampai di atas …;Negatif
Bukit Jaddhih;Pemandangannya bagus tetapi untuk kebersihan masih banyak sampah dimana-mana mungkin harus ditambah fasilitas tempat sampah;Positif
Bukit Jaddhih;Menuju Bukit Jeddih dari pintu keluar Jembatan Suramadu lurus saja, di pertigaan besar pertama belok kiri, ikuti jalan kecil aspal, hati hati bila terjadi simpangan dengan mobil, harus mengalah. Pintu masuknya tersamar, tidak ada petunjuk …;Negatif
Bukit Jaddhih;Cuacanya panas, saya sarankan untuk kesini pagi-pagi agar tidak terlalu panas. Hati-hati dengan pungli. Sepanjang perjalanan ada beberapa point dimana kita akan diminta pungli atas nama kas desa, sumbangan desa dan sebagainya. Waktu itu …;Negatif
Bukit Jaddhih;Sebuah bukit kapur yang kapurnya bisa dibuat untuk bangunan rumah.  Karena perpaduan kapur dengan genangan air sehingga membuat air di sekitarnya berwarna hijau. Ada sebuah gua namanya Goa Pote. Bagus viewnya. Tetapi untuk parkirnya mahal, 50 rb untuk bus kapasitas 30 orang.;Positif
Bukit Jaddhih;Menurut saya, Bukit Jaddih adalah tempat wisata yang benar-benar luar biasa spektakuler dan kedepan sepertinya akan terus bertambah spektakuler. …;Positif
