user;lokasi;sentimen;ulasan
Nadia Hayuningtyas;Bukit Jaddhih;Negatif;"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …"
Yanti Mei (Yanti);Bukit Jaddhih;Positif;Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. 
Hadi Susanto (Mas Guru);Bukit Jaddhih;Negatif;Jadi salah satu alternatif wisata di pulau Madura. Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi. Dibagian lain sdh berubah fungsi menjadi tempat wisata. Akses kesini lumayan sulit …
funansia donis;Bukit Jaddhih;Positif;Kemarin ke bukit jaddhih karena kebetulan mau jalan’ ke jembatan Suramadu. Pertama lihat foto’ dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih, tetapi pada saat ke sana sangatlah diluar eksepetasi.
Ditha Aprillia;Bukit Jaddhih;Negatif;Biaya masuk mobil 5rb, semoga next ada papan petunjuk jalan ke wisata (soalnya kalo pake maps diputer2in) & jalan kesana lebih baik. Krn mobil kecil uda berusaha menghindar tetep gasruk, alhasil cat mobil di bemper depan ngelupas
Affandi Fauzan Syawal;Bukit Jaddhih;Positif;Masuk uang yg punya jalan tambang 20rb, masuk ke parkir 5rb per org. View bagus bngt, tambang batu kapur aktif.
Dewy Antriani;Bukit Jaddhih;Negatif;Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …
Aulia Aisya Cahyarani;Bukit Jaddhih;Positif;salah satu wisata di madura yg wajib bgt dikunjungi. nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini, ada danaunya jg loh, cakep bgt klo buat foto2. tapi medan utk kesini agak jelek karena banyak bebatuan jalannya. yg mau liburan ke madura, coba kesini deh guys?? …
Sulaiman Rhosyid;Bukit Jaddhih;Positif;Minggu kemarin ngantar anak-anak wisata... Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz... …
om_jum;Bukit Jaddhih;Positif;Tebing² buatan yg sangat menakjubkan,recomend banget untuk dikunjungi.akses sangat mudah sekitar 40 menit dari Jembatan Suramadu.
Afrizal Fakhmy;Bukit Jaddhih;Positif;Tempatnya cukup bagus terutama untuk wisata keluarga. Selalu gunakan masker karena cukup berdebu
sunar taufiq;Bukit Jaddhih;Negatif;Fasilotas masih minim, perlu pegembangan dengan sentuhan artistik agar lebih menarik wisatawan
AR channel;Bukit Jaddhih;Positif;Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing
Diva Shafira Artanti;Bukit Jaddhih;Positif;Tempatnya luas, cocok untuk digunakan foto-foto, lumayan naik turun jalannya, disarankan kesini menggunakan sepatu, karna kalau musim hujan ditakutkan licin
Atria Handono;Bukit Jaddhih;Positif;Kesini ketika buat video klip, ketika puasa, kebetulan mendung dan sempat hujan sebentar. Waktu itu kita ada yg menyertai dan diantar ke spot-spot terbaik yang jarang dipakai orang untuk spot photo atau video. …
christiyanto satriyo wibowo;Bukit Jaddhih;Positif;Menurut aku cukup bagus untuk jalan2 ke sini. Cuman kitq ga tahu mana penarik karcis mana yg bukan. Kita naik mobil dicgat orang bawa karcis suruh bayar
fitria ferayanti;Bukit Jaddhih;Positif;Banyak sekali spot foto yg keren & bagus, disarankan datang pagi/sore, karna kalo siang panasnya minta ampun...
Ismi Yui;Bukit Jaddhih;Positif;Bagus apalagi kalau cuaca mendukung dan datang di waktu yang tepat sekitar jam 8 atau 9 karena matahari sudah berada diatas tapi suhu tidak panas terik dan lebih menaikkan pesona alamnya
RUSSELL. ID;Bukit Jaddhih;Positif;"Pengalaman wisata alam yang sangat menyenangkan, kondisi masih lumayan sepi dikarenakan berkunjung di hari jumat.
Kurang penunjuk arah yg jelas. Semoga kedepannya pengelolaan semakin baik lagi"
Ariska Dewi;Bukit Jaddhih;Negatif;Dateng pas weekend, buat survey. Bareng sama truk truk tambang dan jalannya rusak. Dibantu warga lokal buat nyari jalan yg agak mendingan. Sampe lokasi airnya surut karna emang gak ada ujan. Gersang banget dan lebih baik bawa masker. Debu dimana mana
metom sh;Bukit Jaddhih;Positif;"Goa pote, bangkalan
Msh di sebelahnya dg bukit jaddih juga.
Mungkin artinya goa putih, krn bekas galian gn kapur, jd pasti putih. "
Taufik Hidayah;Bukit Jaddhih;Positif;Tempatnya bagus, sayang pas kesana pas musim kemarau jadi jalanan berdebu karena galian tambang kapur
Sebastian Rama;Bukit Jaddhih;Positif;viewnya bagus, bekas area tambang jadi spot foto2
Berkah Abadi Satoto;Bukit Jaddhih;Positif;"Bekas tambang kapur di banhkalan madura. Sangat aesthetic utk lokasi foto dan video. Tiket masuk murah hanya 5rb per orang.
Ada tour guide, anak muda sekitar .. mereka jg jago take foto dan video. …"
NABNAD TWINS;Bukit Jaddhih;Positif;Wisata gunung kapur yg indah...kalau musim kemarau panas banget
Juniar Fadhilah;Bukit Jaddhih;Positif;Bagus buat foto² rekomendasi kesini pagi atau sore sekalian, tutup jam 17.30
Agus Suryono;Bukit Jaddhih;Negatif;jalan masuk sekitar 300 m sangat bergelombang, air didanau kering pada saat musim kemarau
Hasby Asshiddiqi;Bukit Jaddhih;Positif;Bukit jeddih ini bukit kapur yang penambangannya masih aktif. Namun ada sisi yang sudah tidak beroperasi dan dijadikan wisata. Untuk view yang ditawarkan menarik. Untuk fasilitas ada warung makan, toilet (kurang tau keadaannya). Akses …
Sri Wahyuni;Bukit Jaddhih;Positif;"Jalan masuk bisa dibilang parah bgt,
Karcis masuk bayar 2X, pertama 10k, kedua 5k per org,
Tp view nya indah menurut saya, masih terlihat alami, …"
Fasha;Bukit Jaddhih;Positif;kesini H+2 hari raya Idul fitri 2023 jalan agak rusak tapi senang aja suasananya unik dan ramai suara petasan, knalpot anak2 motor khas jaddih bangkalan madura.
Mayaria Desi;Bukit Jaddhih;Positif;tempat wisata ramah dikantong, hanya saja akses nya kurang nyaman, semoga mendapat perhatian & prioritas dr pemda setempat untuk akses menuju ke tmp wisata dan kedepannya makin tertata..???????? …
Santo Ali;Bukit Jaddhih;Positif;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …
Emma erliana;Bukit Jaddhih;Positif;Bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal (gak mulus lah) itu saja kendalanya...semoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit Jaddih ke depannya ,
Arif Rahmat Santoso;Bukit Jaddhih;Positif;Cukup luas dan ada pemandu nya klo masuk.
