nama;waktu;ulasan;sentimen
Khoirini Robiatul Adzawiyah;10 bulan lalu;Harus dikunjungi d …;Netral
yopie franz;2 tahun lalu;"Gua bentukan alam yang sangat menarik, indah, cantik, memukau.

Tak menyangka ruang di dalamnya begitu luas dan tidak pengap. Aliran udaranya …";Positif
the skinny feet;2 tahun lalu;kagum karna Madura punya objek wisata yang gk kalah bagus dari goa maharani di lamongan yaitu goa soekarno, suasana di dalamnya sangat nyaman karna lumayan luas dan ada  cafe bar nya, menurut kabar  tempat kini bukan milin dinas setempat melainkan milik swasta, semoga kedepannya makin  diperbagus lagi;Positif
Jayanti Nur Fatimah;2 tahun lalu;Yaahh lumayaann.. meski kurang puas.. semoga kedepannya makin menarik lagii..?????? …;Netral
Moh Ahsin;2 tahun lalu;Sangat senang mengunjungi wisata ini, sangat cocok untuk para pecinta outbound, ada permainan tembak-tembakan seru banget;Netral
Nfarida Rafa;2 tahun lalu;Tempatnya bagus,mas guidenya juga ramah ramah;Positif
Hitchhiker Nusantara;2 tahun lalu;"Bagus, keren, pokoknya beautifull dahhh...
Recomended babget wesaa...";Positif
Mudmainah mudmainah;2 tahun lalu;Cahaya merupakan rahmat dari Tuhan untuk kita semua. Tanpa cahaya, siang dan malam hanyalah hitam tanpa keindahan.;Positif
Cong Misbah Channel;2 tahun lalu;Lahan parkir sama akses masuk belum oke. Kalau fasilitas wisata luar biasa.;Netral
Ismalyadi Ismalyadi;2 tahun lalu;"Amazing Place,
Menuju lokasi seperti via kebun/hutan, dari parkiran banyak semak belukar, masuk via mulut gua yg relatif sempit. …";Netral
Ach. Muzeyri;2 tahun lalu;Wisata baru yang eksotis di Pulau Garam.;Netral
Hantobot Antok;2 tahun lalu;Kami menung kiriman foto kami panitia;Netral
Emyra Uji;2 tahun lalu;"Pernah kesana pas baru di buka, bagus.
Yang cari tempat wisata di Kab. Sampang, Goa soekarno perlu di pertimbangkan.";Positif
Syadam Bahri;2 tahun lalu;Fasilitas oke banget.. pokoknya gak bakalan rugi kalau kesini;Netral
Egi Meigziana;2 tahun lalu;Obyek wisata yg menarik perlu di rawat dengan baik lagi;Netral
Dj Narkobae (Narkobae);2 tahun lalu;Mantab sebagai sejarah buat anak cucu kita....?????? …;Netral
prima wisnu;2 tahun lalu;Ternyata luas guanya, berkelok2;Netral
Herman Ali;2 tahun lalu;Tiket masuk mahal 15000/orang;Negatif
Mukhlish;2 tahun lalu;"Luar biasa gak rugi jauh"" dari Kalimantan";Netral
dia lovers;2 tahun lalu;?????????? ???????????????? ?????? ?????? ???????? ?????????? ???????????? ?????? ?????? ?????? …;Netral
Bayue 012;2 tahun lalu;Cocok untuk bersantai dengan keluarga;Netral
Muhammad Rawaris;2 tahun lalu;Menakjubkan.... emejing ???????? …;Netral
Ajeng Riyana;2 tahun lalu;keren dan alami;Positif
Nurul Azizah;2 tahun lalu;,?????? …;Netral
SHAKINU AJIE;2 tahun lalu;Sangat bgus;Netral
Arief Channelku;2 tahun lalu;Goax bgus bangetzzz;Netral
Ziyan Febrian;2 tahun lalu;Siip;Netral
loker madura;2 tahun lalu;Bagus;Positif
Irwan Hidayatullah;2 tahun lalu;Goa Soekarno, salah satu tempat wisata di Sumenep, kota paling timur Pulau Madura. Sekitar satu jam dari pusat kota Sumenep dengan mobil. Harga tiket 15k per orang. Anda akan masuk ke dalam gua dan menemukan patung Bung Karno di tengah gua …;Netral
Dullah Dila;2 tahun lalu;Panas dluar, dingin dd …;Netral
Syaiful;2 tahun lalu;Masjid Asmaul Husnah;Netral
In amol Aufa;2 tahun lalu;Sinol;Netral
Speed Crew;2 tahun lalu;Tempat yan …;Netral
holifah Mukarromah123;3 bulan lalu;Bagus banget pemandanganya;Positif
Khoirul Musthofa;3 bulan lalu;Kereeennnnnnnnn;Netral
Inayatul Maghfirah Agustania;3 tahun lalu;Wisata yang cukup menarik di mana wisata Gua yang dibangun dengan sedemikian rupa desain secantik mungkin sehingga bisa menarik perhatian pengunjung. Tapi dulu waktu saya ke sana masih terbilang baru jadi ya masih ada yang belum selesai dan …;Positif
Alief Sahara;3 tahun lalu;Tempat sangat bagus untuk pariwisata keluarga fasilitas juga lumayan lengkap suasana alami yang memanjakan mata Dan akan mempunyai spot foto untuk kedepannya yang akan di datang. Jangan sampai tidak berkunjung bisa main paintball & ATV ???? …;Positif
nilliya mega;3 tahun lalu;Keren tempatx, htm 15k, ada cafex, jg ada live musikx?? …;Positif
soeryo Hartiningsih;3 tahun lalu;Indahnya goa Soekarno d pasongsongan Sumenep madura.dkt rmh kami.spot foto keren.;Positif
Arlan Kianu;3 tahun lalu;Keren banget berasa di alam lain goa suekarno nnti pengen kesana lagi ???? …;Positif
nujum1 1985;3 tahun lalu;Tempat ini indah cuman butuh pengembangan;Positif
icha hujan;3 tahun lalu;Keren falsilitasnya cukup mewadai so jalan-jalan kesini ga bakalan nyesel ?? …;Positif
Oyang Anteng;3 tahun lalu;Keren dan rekomended banget tempatnya;Positif
John Sakera;3 tahun lalu;Cocok untuk rekreasi bersama keluarga;Netral
Ros Sita;3 tahun lalu;Seru ada live musiknya...;Netral
Kholif Azzahroh;3 tahun lalu;"Tempatnya bagus...
Sejuk... bikin tenang...
Fasilitas di sana juga memadai.. serta ada iringin musik di sana juga yang …";Positif
rusdi zulkarnain;3 tahun lalu;"Goa Soekarno 'GS' apik bener dan natural.

Lokasinya ada di Kecamatan Pasongsongan (dari Jalan Raya Pasongsongan masuk …";Netral
GrupINLimaSembilan TahunEnamBelas;3 tahun lalu;Prospek sebagai destinasi wisata ke depan hanya perlu    kelengkapan yang menunjang lainnya shg betul2 memanjakan pengunjung contoh mungkin kolam renang atau outbond dll;Netral
pakdhe ku;3 tahun lalu;tempatnya bagus...;Positif
Bhazier 54;3 tahun lalu;Blum siap utk di louncing masih butuh pembenahan luar dalam khususnya akses ke lokasi dan tata letak area parkir yg kurang rapi;Netral
INJ PenaOficial;3 tahun lalu;Merekomendasikan tapi tiket terlalu kemahalan.. dan jarak dari parkiran menuju goa sangat jauh sekali, namun  keindahan didalam goa soekarno mampu membalas semua kelelahan itu?? …;Positif
Faisal Faisal;3 tahun lalu;Destinasi wisata yang sangat unik dan menakjubkan;Netral
Seafood Suplier;3 tahun lalu;Instagramable.. HTM 15rb/orang dan parkir mobil 10rb , akses masuk sangat aman dan  mudah, kapasitas parkir mobil luas.;Netral
